food_key,food_description,food_category,allowed_no_restriction,allowed_vegetarian,allowed_vegan,allowed_pescatarian,allowed_halal_friendly,allowed_kosher_style,allowed_gluten_free,allowed_lactose_free,allowed_nut_free,allowed_low_sodium_aware,blocked_profiles
beef australian imported grass-fed loin tenderloin steak roast boneless separable lean only raw,"Beef, Australian, imported, grass-fed, loin, tenderloin steak/roast, boneless, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported grass-fed loin top loin steak roast boneless separable lean only raw,"Beef, Australian, imported, grass-fed, loin, top loin steak/roast, boneless, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported grass-fed loin top sirloin cap-off steak roast boneless separable lean only raw,"Beef, Australian, imported, grass-fed, loin, top sirloin cap-off steak/roast, boneless, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported grass-fed rib ribeye steak roast lip-on boneless separable lean only raw,"Beef, Australian, imported, grass-fed, rib, ribeye steak/roast lip-on, boneless, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported grass-fed round bottom round steak roast boneless separable lean only raw,"Beef, Australian, imported, grass-fed, round, bottom round steak/roast, boneless, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported grass-fed round top round cap-off steak roast boneless separable lean only raw,"Beef, Australian, imported, grass-fed, round, top round cap-off steak/roast, boneless, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef australian imported grass-fed seam fat raw,"Beef, Australian, imported, grass-fed, seam fat, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef new zealand imported bolar blade separable lean only raw,"Beef, New Zealand, imported, bolar blade, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef new zealand imported brisket navel end separable lean only raw,"Beef, New Zealand, imported, brisket navel end, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef new zealand imported brisket point end separable lean only raw,"Beef, New Zealand, imported, brisket point end, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
beef new zealand imported chuck eye roll separable lean only raw,"Beef, New Zealand, imported, chuck eye roll, separable lean only, raw",Beef Products,1,0,0,0,1,1,1,1,1,1,vegetarian|vegan|pescatarian
