nutrient,unit,life_stage,sex,source_agency,recommended_value,upper_limit_value,source_url,notes
Pantothenic acid,mg,Adults,Male,DRI,5.0,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
Potassium,mg,Adults,Female,DGE,4000.0,,https://www.dge.de/wissenschaft/referenzwerte/kalium/,Auto-imported from DGE nutrient page
Potassium,mg,Adults,Male,DGE,4000.0,,https://www.dge.de/wissenschaft/referenzwerte/kalium/,Auto-imported from DGE nutrient page
Potassium,mg,Adults,All,DRI,2800.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Auto-imported from DRI table
Potassium,mg,Adults,Female,DRI,2600.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Auto-imported from DRI table
Potassium,mg,Adults,Male,DRI,3400.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Auto-imported from DRI table
Riboflavin,mg,Adults,Female,DGE,11.0,,https://www.dge.de/wissenschaft/referenzwerte/riboflavin/,Auto-imported from DGE nutrient page
Riboflavin,mg,Adults,Male,DGE,14.0,,https://www.dge.de/wissenschaft/referenzwerte/riboflavin/,Auto-imported from DGE nutrient page
Riboflavin,mg,Adults,All,DRI,1.6,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
Riboflavin,mg,Adults,Female,DRI,1.1,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
Riboflavin,mg,Adults,Male,DRI,1.3,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
Selenium,ug,Adults,Female,DGE,60.0,,https://www.dge.de/wissenschaft/referenzwerte/selen/,Auto-imported from DGE nutrient page
Selenium,ug,Adults,Male,DGE,70.0,,https://www.dge.de/wissenschaft/referenzwerte/selen/,Auto-imported from DGE nutrient page
Selenium,g,Adults,All,DRI,,400.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Selenium,g,Adults,Female,DRI,,400.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
